# domega, dtau
8.033608643324571807e-02 -3.080933519260753428e-03
8.762054754898325470e-02 -9.092812689247450897e-02
1.481003366914722674e-01 -1.687808480008914369e-01
9.731403286598011571e-02 2.610455348859773705e-01
1.561439606660338097e-01 2.129615001945837915e-01
2.447407901519673690e-01 -8.390575753269630122e-02
1.337149645850432278e-01 1.855747056812337425e-02
9.299490005993737984e-02 -1.388407709689525316e-01
1.695425281732755307e-01 1.591565776644229269e-01
1.852032333796266583e-01 7.685484059397923451e-02
1.962120554679578077e-01 -1.081886629525264376e-01
5.779355802051832081e-01 -1.304924619699665556e-01
7.676257465218654097e-02 -4.855387583605480506e-02
1.720074210127275072e-01 9.831148831760369577e-02
1.378080851105152604e-01 2.020952688615538229e-01
1.180527720901406452e-01 2.179075203721631548e-01
