# freq tau
7.122412426414763331e+01 1.921526776398878311e-02
6.678207658959290427e+01 1.975760027940861446e-02
6.785965973683369157e+01 1.935173048897605858e-02
6.807424640629000123e+01 1.939329234781164354e-02
7.406318740794307587e+01 1.977538210730189761e-02
6.833434452197336384e+01 1.958031102899504203e-02
6.806822632302854004e+01 1.798376329579354574e-02
6.875027388974069709e+01 1.826960820577566008e-02
6.647405900962679937e+01 1.837088514678161116e-02
6.897644569480631560e+01 1.560592781028210217e-02
6.714287405973500711e+01 1.667435813688383436e-02
6.882048946285631530e+01 1.853032634743198223e-02
7.044940540874046064e+01 1.795457563547376428e-02
6.950340471673106890e+01 1.703130585446441594e-02
6.692742535854654307e+01 1.623450348485921263e-02
6.830942007061477739e+01 1.612703601095648656e-02
7.420233341203649502e+01 1.851881020447128032e-02
6.471397520425554717e+01 1.870110942061701739e-02
7.055973953254743947e+01 1.842681624197940390e-02
7.096285303351248785e+01 2.039711483684284593e-02
5.303988874450011082e+01 1.650260804737746154e-02
6.581880295922351820e+01 1.570835721767785756e-02
6.646117068835454234e+01 1.602239851337932189e-02
6.914889305857056456e+01 1.642477636787033346e-02
6.862569600194585462e+01 1.762636218509369690e-02
4.820419404291038035e+01 1.802789450600389420e-02
6.086597004760587737e+01 1.571911570055468943e-02
5.855669910060861838e+01 1.767788862816124101e-02
4.849944220610618828e+01 2.035465754880662684e-02
4.709458506023509017e+01 1.888478394321195172e-02
6.795513239730874488e+01 1.851954550274576353e-02
6.574801542287913492e+01 1.754342167572673847e-02
6.861861211344636047e+01 1.785047638786443902e-02
6.840838257129760791e+01 1.792699538263988965e-02
6.269947986699328624e+01 1.682849716820469452e-02
6.046128588926358560e+01 1.755665180743679055e-02
6.136895668759986933e+01 1.768658635769387866e-02
6.427028384663130112e+01 1.827920090689984928e-02
6.535771167838133522e+01 1.735208566171275377e-02
6.699035704058529461e+01 1.781869043148504028e-02
4.749690442570258142e+01 2.154192408373832232e-02
6.588734293077433790e+01 1.727456827210275755e-02
6.981785798042923830e+01 1.773507325837790985e-02
4.873933842049304843e+01 1.915331128562616433e-02
6.256072885592564603e+01 1.551647264188437368e-02
6.801287643026915930e+01 1.668497786396205829e-02
6.548760520514190375e+01 1.805855392583069485e-02
7.289742678644145712e+01 1.729837283779821211e-02
6.510551764047690426e+01 1.695255479370771923e-02
6.474129110727437819e+01 1.702135721726465850e-02
6.944193180614765026e+01 1.950890132234872967e-02
6.997580369395413413e+01 1.935669670861472208e-02
6.880056140378320606e+01 1.873237105073298492e-02
6.472542376029305444e+01 1.816485668216962987e-02
7.259586522181702151e+01 1.848366287617717041e-02
7.027115963296401446e+01 1.887081272778877092e-02
7.039535790674513294e+01 1.894200719917382703e-02
7.091706800670223743e+01 1.879220341248106357e-02
7.289552275908637569e+01 1.835174820634220827e-02
7.114703208763022246e+01 1.856545769023608058e-02
7.201766661400677094e+01 1.667455357429835708e-02
6.931141981738444713e+01 1.701256057795484666e-02
7.044389272180355022e+01 1.692159076957373484e-02
5.306944125983708460e+01 1.807265060468374665e-02
7.270423203601556850e+01 1.732514925165418856e-02
7.620355099379641217e+01 1.668184873555004014e-02
