# df dtau f tau ell mf af z
-8.198401179464034350e-01 -9.368242324022255652e-01 2.365730463808886270e+02 3.905122321917317910e-03 2.972368693981767507e+00 6.699363587987357960e+01 6.283009742160049482e-01 1.044815118455411362e-01
1.331900083164779813e-01 1.884424067282168269e-01 2.479379919102658221e+02 4.263900460887468970e-03 8.272466525956407679e+01 6.727628139659027795e+01 6.350081596105497939e-01 1.047559366023142063e-01
8.436712811813023016e-01 -7.643295487714847347e-01 2.373115292733714341e+02 3.905192268008378115e-03 2.542366573270760455e+01 6.714631252664798922e+01 6.332575350754776622e-01 1.044185479788739407e-01
-3.089901164809481515e-01 -8.262975200101951856e-01 2.389317416772396427e+02 3.856987715701630428e-03 2.570296379572690526e+01 6.636432972779607553e+01 6.318921356774078735e-01 9.931660607028239274e-02
2.035190331398837871e-01 -1.485654591665790392e-01 2.380367290620069127e+02 3.881136385511387010e-03 3.679261008138820443e+01 6.675542221364892725e+01 6.281715095210218536e-01 8.909608441875910279e-02
4.319003618866206207e-01 -9.875072610713266918e-01 2.481325738568127122e+02 3.558175775357520169e-03 5.540275251631381082e+01 6.690405505576902101e+01 6.563778804706633663e-01 6.159881059816300908e-02
6.023127794997258366e-01 8.258643938811369711e-01 2.425396513995232795e+02 3.954127845035775718e-03 8.985292147873543911e+00 6.719495986058856829e+01 6.801096544424045653e-01 1.104389100418647351e-01
-9.592109973231517372e-01 -9.995679959516066970e-02 2.386895974686097190e+02 3.886847115999304478e-03 3.801226859835018956e+01 6.644404496637204716e+01 6.600340088725838994e-01 5.154197438679378185e-02
6.618794530141436372e-01 1.673016299034314480e-01 2.495110665970463799e+02 3.927065391179395716e-03 4.764382422063538769e+01 6.640086861566223320e+01 6.602709474987998872e-01 4.630650445986046054e-02
7.725579949589989059e-01 -6.649735710303024128e-01 2.499755663203183076e+02 3.799896035946197063e-03 4.409675972840870628e+01 6.638931435387922875e+01 6.709344992816616005e-01 8.779870467906307485e-02
9.119751587574387308e-02 -3.347825859721340613e-01 2.456167003779637241e+02 3.815402373958684621e-03 5.368346420068724001e+01 6.670659274519506710e+01 6.790407748796783993e-01 7.668080837146998285e-02
