# freq tau
6.640028282949802474e+01 1.545030947710953825e-02
6.815735794931110547e+01 1.486848950681726733e-02
6.869159539064256137e+01 1.501136480777009313e-02
6.355368413305694020e+01 1.541327713249814914e-02
6.368516364985564593e+01 1.596694370594211460e-02
6.365904917968106957e+01 1.578794623801425129e-02
6.392407623079895984e+01 1.252934125443078313e-02
6.883885518634555467e+01 1.163452381050340649e-02
6.837181296201117675e+01 1.171322133250425959e-02
6.455055013002186115e+01 1.558829336102362899e-02
6.742135285516700094e+01 1.474478474366591046e-02
6.448488294986816527e+01 1.540835772665506351e-02
6.599343374290729969e+01 1.535427531771767391e-02
6.508788312505792817e+01 1.527136252450376173e-02
7.062274083331350027e+01 1.331107859653672329e-02
6.854326616016275864e+01 1.441679519590116469e-02
6.501520143564133036e+01 1.562457105938991168e-02
6.068021345421090018e+01 1.596578957963002907e-02
7.473457369741801415e+01 1.272078141974393797e-02
6.352669323763640108e+01 1.426442631539453013e-02
6.416237585515249009e+01 1.588485255043982011e-02
6.406763528322221646e+01 1.597697280828225264e-02
6.566055720710095045e+01 1.567864903174950517e-02
6.661561133797809475e+01 1.359391969476209279e-02
6.299650396957201082e+01 1.581789966863962615e-02
6.319146136880040387e+01 1.592142641512748341e-02
6.852643411676160667e+01 1.467589977353616661e-02
5.677899466249781568e+01 1.555094784387467920e-02
6.646286947611780249e+01 1.542884833616537353e-02
7.369273006702113094e+01 1.284126746383770085e-02
6.567813969777780869e+01 1.521168249697085056e-02
6.622118609296354919e+01 1.509142857194587656e-02
7.219952421000617448e+01 1.412603210172469308e-02
6.690752829184640404e+01 1.437933973904398192e-02
6.436306177816290131e+01 1.425180045434971954e-02
6.709674234607291510e+01 1.297045442232831747e-02
6.773950622126909593e+01 1.512842056912080263e-02
6.738773939884730169e+01 1.516670230475350781e-02
6.413968912086987473e+01 1.605145402642834188e-02
6.349254665658391872e+01 1.570599611522994696e-02
6.511361058785142575e+01 1.555209709917962542e-02
6.188251696536751467e+01 1.547293437940593097e-02
6.677055434505963660e+01 1.534299548546562940e-02
6.337521160711082047e+01 1.474584241541002441e-02
5.849999761834921230e+01 1.731433008944449278e-02
6.624241610950100778e+01 1.496318758138992511e-02
4.893810473217511259e+01 2.064265414072758223e-02
7.169816083384407079e+01 1.378990593099317825e-02
6.652882109789803167e+01 1.487025208298392923e-02
6.530782251509249647e+01 1.510735655302958280e-02
6.645037138497914952e+01 1.363472099334614267e-02
4.642780443925455103e+01 2.208602946439512660e-02
6.808244378474141456e+01 1.500899468744798168e-02
6.684419233061403531e+01 1.371849215583215154e-02
6.492915764438905057e+01 1.407658887137462622e-02
5.097210656713162535e+01 1.670755542246159589e-02
6.204617946175923038e+01 1.627931142642632945e-02
5.304858044708189624e+01 1.596052883114550125e-02
6.577033363613276151e+01 1.509515395795356027e-02
6.493358209245612045e+01 1.587594746078750327e-02
6.580627781151058286e+01 1.562796950225620735e-02
6.176811249498025091e+01 1.588985911529833955e-02
6.387166065008980098e+01 1.538700495778727410e-02
7.045682656457682924e+01 1.370000590801286576e-02
6.656378000896657454e+01 1.513149295346073557e-02
6.373132669771413816e+01 1.523690273594887658e-02
6.663280486224859089e+01 1.545246445942993763e-02
6.643221668316212458e+01 1.552009026283333350e-02
6.481868782584209043e+01 1.587724717912313357e-02
6.772434376468650896e+01 1.469189152830916410e-02
6.321359787812300368e+01 1.589639703620659289e-02
6.723105373897517723e+01 1.467231950373502035e-02
6.749967017799586699e+01 1.352281305348487436e-02
6.708037157865652489e+01 1.387189287124627850e-02
6.521779174544222712e+01 1.370023328144299134e-02
6.415045304219636080e+01 1.566684308482006391e-02
6.681688749695085505e+01 1.352930747444668590e-02
6.885427067742172369e+01 1.255960720842785351e-02
6.799675622457834834e+01 1.281744385107428004e-02
5.389573487398239848e+01 1.634425341536737894e-02
6.129193948824162419e+01 1.453297581009423134e-02
6.574281784729163292e+01 1.520232068344546002e-02
6.200011250458248213e+01 1.427034915195262918e-02
6.493817131863040970e+01 1.575192268194621284e-02
6.674741436765042124e+01 1.424443249844123752e-02
5.794622803194491922e+01 1.568293378006781202e-02
6.439446724623098817e+01 1.573068002666110424e-02
5.220242984363513017e+01 1.650806044470142994e-02
6.344723859940264532e+01 1.611522000300872476e-02
6.694524757782639313e+01 1.532918703090599757e-02
4.901822647825709112e+01 2.027695437782159327e-02
4.996520134193806228e+01 1.845914599001910114e-02
6.474150639153168640e+01 1.443254018067684392e-02
4.842356729278669292e+01 2.041822659623697758e-02
6.648484566638637716e+01 1.385303204362599294e-02
6.483899591559311659e+01 1.505718160291872297e-02
6.321306866403844538e+01 1.484080137908213096e-02
6.442308112174934820e+01 1.549309769216395717e-02
6.359812469183065531e+01 1.617929449138691411e-02
6.830903598732984960e+01 1.499388043849498621e-02
6.482417144041112067e+01 1.588613317596543340e-02
6.199907482751643073e+01 1.578467328077797632e-02
6.245704939414973467e+01 1.624041692348272489e-02
6.452229546388755921e+01 1.587707638037974545e-02
6.514597404748008103e+01 1.357663033854222996e-02
6.438804412532842036e+01 1.289419166332202681e-02
6.459945734658444394e+01 1.250380786510026446e-02
6.869518324633851591e+01 1.166471715270922527e-02
6.885612801334693245e+01 1.455874551772311579e-02
6.679641894545736136e+01 1.539262472011535508e-02
6.854984424485270722e+01 1.500908309496351394e-02
6.715163633575139102e+01 1.534354708430823132e-02
6.565177238366227641e+01 1.531922165324445424e-02
6.771307576466443834e+01 1.480026654804932930e-02
6.616223069826884284e+01 1.552081374336836302e-02
6.485148747543220793e+01 1.493677274533285020e-02
6.754773268439096512e+01 1.494951178105627561e-02
6.386272950336454102e+01 1.580082074040504644e-02
6.791556699952796805e+01 1.390415234097054122e-02
4.855152785783452885e+01 1.977794962317990304e-02
6.567407437597863407e+01 1.458749779730579912e-02
6.863563153978206799e+01 1.336355801912585996e-02
6.430315854142757814e+01 1.570238485370399617e-02
6.584832124260967134e+01 1.489471436348141671e-02
6.448280989567605559e+01 1.534472278578192378e-02
6.478759002845758630e+01 1.530576558979261127e-02
6.451483994453008108e+01 1.546699828589023600e-02
6.668745381783470805e+01 1.543608142426042794e-02
6.983599883550435550e+01 1.474610998355037339e-02
6.394905684366554510e+01 1.374720278999549961e-02
6.233335401872096782e+01 1.410871341551646688e-02
5.568091488556218849e+01 1.778737981806942370e-02
6.201370292854902999e+01 1.477342898615274965e-02
6.580463434355665697e+01 1.528579762358539887e-02
6.720098177937730100e+01 1.534410817984933027e-02
6.749128791443865794e+01 1.409971104629410485e-02
6.957570541030105460e+01 1.332154502905436196e-02
6.998667344765240728e+01 1.354370123870077790e-02
6.181010363642214145e+01 1.586430083054049534e-02
6.608964789416913277e+01 1.527663304425265836e-02
6.154089115970036517e+01 1.635105822899173000e-02
5.162135030866734553e+01 1.727579775924695596e-02
6.572621457572026316e+01 1.486476860475746328e-02
6.965261257725116195e+01 1.409691268007660925e-02
6.850541906973957396e+01 1.429160167407057466e-02
6.779229959400291250e+01 1.517126398472600120e-02
6.816976373995751715e+01 1.315903115714734360e-02
6.328524763766219507e+01 1.628219305177558418e-02
6.396545015623168240e+01 1.610112306847188979e-02
6.730034646727187919e+01 1.530653496773400415e-02
5.421930728231103558e+01 1.830319067033435790e-02
6.693479037448210534e+01 1.520779484712907019e-02
6.445527934894998623e+01 1.571590371684192938e-02
6.355957633317797217e+01 1.589891697583723992e-02
4.510301794440240286e+01 2.249038069563031803e-02
4.918176238809277123e+01 2.053497225575537030e-02
6.911766101391660300e+01 1.340935834122936737e-02
6.705957165321012781e+01 1.486415067420096547e-02
5.010303327214258928e+01 1.747966600782991861e-02
6.361777884025430296e+01 1.585615254485227624e-02
6.349524470991300973e+01 1.576435932670634116e-02
6.656354931280742449e+01 1.541774003770164311e-02
6.438544337101021142e+01 1.516719973913078189e-02
6.745135556622008721e+01 1.453114515593932794e-02
6.731171837984159367e+01 1.530358796450319303e-02
6.582017684943845381e+01 1.565657726827862639e-02
6.417715837473045326e+01 1.589032541338441726e-02
5.131051142994670045e+01 1.911228400211851738e-02
6.392717021427120727e+01 1.611168390956323193e-02
6.188139142736709886e+01 1.418032583068160740e-02
6.633084611492769511e+01 1.311489909079903253e-02
6.693397269309031117e+01 1.539484870483118217e-02
5.021856051926248909e+01 1.921326487304979291e-02
