	maP	maxL	KL	stdev	mean	median	stacc	injection	value
segmentlength	4.0	4.0	None	0.0	4.0	4.0	None	None
h1_spcal_freq_6	109.36719998797783	109.36719998797783	None	2.84217094304e-14	109.3671999879778	109.36719998797783	None	None
h1_spcal_freq_7	145.16545392214175	145.16545392214175	None	0.0	145.16545392214175	145.16545392214175	None	None
h1_spcal_freq_4	62.07757274857649	62.07757274857649	None	1.42108547152e-14	62.07757274857648	62.07757274857649	None	None
h1_spcal_freq_5	82.3969071844436	82.3969071844436	None	1.42108547152e-14	82.39690718444362	82.3969071844436	None	None
h1_spcal_freq_2	35.23565601732896	35.23565601732896	None	0.0	35.23565601732896	35.23565601732896	None	None
ntemps	8.0	8.0	None	0.0	8.0	8.0	None	None
h1_spcal_freq_0	19.999999999999996	19.999999999999996	None	0.0	19.999999999999996	19.999999999999996	None	None
h1_spcal_freq_1	26.5464332886092	26.5464332886092	None	3.5527136788e-15	26.546433288609197	26.5464332886092	None	None
h1_spcal_freq_8	192.68125191774047	192.68125191774047	None	2.84217094304e-14	192.6812519177405	192.68125191774047	None	None
h1_spcal_freq_9	255.75000000000009	255.75000000000009	None	5.68434188608e-14	255.75000000000003	255.75000000000009	None	None
l1_spcal_freq_2	35.23565601732896	35.23565601732896	None	0.0	35.23565601732896	35.23565601732896	None	None
l1_spcal_freq_3	46.76904959222023	46.76904959222023	None	7.1054273576e-15	46.76904959222022	46.76904959222023	None	None
l1_spcal_freq_0	19.999999999999996	19.999999999999996	None	0.0	19.999999999999996	19.999999999999996	None	None
dec	-0.43130077795004335	-0.4340490353014197	None	0.45425236856	-0.30674705573311956	-0.4019389290465083	None	None
l1_spcal_freq_6	109.36719998797783	109.36719998797783	None	2.84217094304e-14	109.3671999879778	109.36719998797783	None	None
l1_spcal_freq_7	145.16545392214175	145.16545392214175	None	0.0	145.16545392214175	145.16545392214175	None	None
l1_spcal_freq_4	62.07757274857649	62.07757274857649	None	1.42108547152e-14	62.07757274857648	62.07757274857649	None	None
l1_spcal_freq_5	82.3969071844436	82.3969071844436	None	1.42108547152e-14	82.39690718444362	82.3969071844436	None	None
