# freq_modGR tau_modGR
2.572684523433786694e+02 4.206940969877740778e-03
2.556484676562489256e+02 5.187041390839804839e-03
2.437479137771503304e+02 3.515437115858049445e-03
2.649477031725669463e+02 3.023230323502232829e-03
2.314785950136124768e+02 4.332285266191055265e-03
2.376835105731905742e+02 3.830946370135138255e-03
2.612465688222950462e+02 4.125414753104066946e-03
2.632487078875598741e+02 4.613630020562538292e-03
2.574328034831101490e+02 4.223762384330610568e-03
2.482459955452214615e+02 3.414190512904309843e-03
2.536001539066781731e+02 4.753862742424772025e-03
2.468226787563136213e+02 3.721820473957879270e-03
2.794294788236555291e+02 2.833465447321677384e-03
2.575295476728855988e+02 4.593197939797160484e-03
2.377166024578681913e+02 3.887333062857862773e-03
2.497662320219716605e+02 4.292533519889338463e-03
2.443579063091062267e+02 5.112178040324572015e-03
2.527479594564603076e+02 3.332488729382380218e-03
2.480017593751059621e+02 5.088815798092583345e-03
2.497459955197141426e+02 3.650150496223302475e-03
2.517007040223817285e+02 3.871046520970131567e-03
2.252346664567191112e+02 3.875121437369900747e-03
2.505361972340934926e+02 4.843053354675589187e-03
2.587495968538380566e+02 2.989308930768356035e-03
2.306988413427628188e+02 3.753695198869902352e-03
2.686416173145410653e+02 3.633871950835206466e-03
2.322096686728935424e+02 3.309451355057745937e-03
2.255012303416406496e+02 3.950277684898965101e-03
2.626206853082402404e+02 3.288242775935086397e-03
2.598723383622136680e+02 4.171327076238231721e-03
2.625075481570772240e+02 3.895723841736068675e-03
2.563347445665939404e+02 3.264648366471056395e-03
2.592618529622106394e+02 4.586963183877642604e-03
2.475146416268096914e+02 4.738124545183794618e-03
2.468342066858708961e+02 4.228100547968029720e-03
2.332737454528634657e+02 3.776880014341608017e-03
2.413500157224038674e+02 3.765257999412168627e-03
2.551279356942938250e+02 4.761179901526038649e-03
2.711517644061484589e+02 2.777322471527602157e-03
2.367640406043406642e+02 4.665443593319083988e-03
2.432012015909970728e+02 4.012612513779647769e-03
2.411054313283136707e+02 3.751408704708282093e-03
2.744341517772886050e+02 4.193593485447079904e-03
2.643602771043785538e+02 3.744809907570464079e-03
2.342322351595797727e+02 4.788438798228539586e-03
2.729118854370358349e+02 3.178767277043555942e-03
2.460701519652162688e+02 4.102831790391859093e-03
2.486075188453513931e+02 3.731287937437574413e-03
2.529838295783844160e+02 3.482834659245661723e-03
2.528996334464299593e+02 3.358465747942807663e-03
2.413229147893074469e+02 4.300427691461020281e-03
2.496266546660214942e+02 4.120264008651976055e-03
2.365976651109361910e+02 3.633072141861635063e-03
2.510050304059116399e+02 4.063449989106335258e-03
2.474691470778509199e+02 4.747096514582905928e-03
2.367490094611531788e+02 4.353744385848542023e-03
2.497304442781362468e+02 3.720986250919679477e-03
2.490257116441516985e+02 4.886105686881359912e-03
2.410079835771043975e+02 5.486794612865084769e-03
2.591872987965282391e+02 3.282473867282087888e-03
2.509503801478924743e+02 3.685462271502260370e-03
2.468222452471514998e+02 3.276029946063535418e-03
2.443439224785295210e+02 3.554415436483671260e-03
2.493571943247073364e+02 3.784449585224754133e-03
2.382405786542699104e+02 3.715763057151119306e-03
2.423513175091787559e+02 5.324888424896624672e-03
2.251556141384402565e+02 3.096922850774026965e-03
2.394954481366612811e+02 5.202781286031346250e-03
2.388220014860876006e+02 4.086507278958670906e-03
2.432002716647677403e+02 4.163374447515442306e-03
2.369871758137951474e+02 3.359198615343363808e-03
2.428554695506608141e+02 6.250675095412656750e-03
2.462644796125913729e+02 4.291058470876850904e-03
2.542121316544282195e+02 4.361812196956032714e-03
2.297725866053076800e+02 4.130455737820637810e-03
2.599289459262627702e+02 3.428547480826004117e-03
2.470477844117174300e+02 3.315148374174102693e-03
2.476179412834108575e+02 4.941252446783120193e-03
2.539663719310570684e+02 4.658094333076732638e-03
2.617655328887276482e+02 3.711743465726983875e-03
2.505647973868434519e+02 3.430580728073795178e-03
2.471473367608809610e+02 4.333857554711809459e-03
2.353482266246899712e+02 3.930468101360952947e-03
2.553520134891469695e+02 3.880005665297439274e-03
2.645248260540265619e+02 3.056102220500200341e-03
2.521615150692454108e+02 4.686464918364324252e-03
