# domega dtau
-1.422068491667086709e-01 -2.718163130860931087e-01
-1.346587042379845389e-01 -4.294483097352793655e-01
-1.946892867749222822e-01 -2.514571875473547991e-01
-2.470379819486001605e-02 -5.742278713811118651e-01
-1.812312862115706136e-01 -4.614715763632603052e-01
-2.659729393794931784e-01 -3.155087820994592063e-01
-2.498355210213553182e-02 -9.869529979227929795e-02
-6.956410513904642823e-02 -2.865234999431974239e-01
-2.900059608778960546e-02 4.729191762546485628e-02
1.932628983535947254e-01 3.181039556032874138e-01
-7.943554300293823034e-02 -8.621061368697033322e-02
-9.916772803776319201e-02 1.798109638552184419e-01
6.042378313351816355e-02 -4.587512330995228704e-01
-3.254551105918325749e-01 -2.632386274139954518e-01
1.073276180514538131e-01 4.348852721052277048e-01
-3.341661259146162799e-02 -1.836416726122651610e-01
4.611980913538846899e-02 7.708563499115639317e-03
5.865731404646593039e-02 -6.440333748208737497e-02
-8.316012395390767753e-02 -7.951727088102819585e-02
-1.293636993582730765e-03 -7.378340601972599444e-02
1.207722379382396988e-01 2.715924611925145671e-01
-1.164815674136884388e-01 -2.314715892997129820e-01
6.461935960326960215e-02 2.386645792520711851e-01
2.048031204776466496e-01 -2.497438762204307050e-01
1.035539776502699683e-01 -2.929928670154204884e-01
-4.411001035601428977e-01 8.572256780782150365e-02
-6.589282788835312821e-02 -2.028343922778740871e-01
-1.426116013305493702e-01 -6.792310020923376657e-01
-6.195112857679541118e-02 -3.426662950572394450e-01
-5.676984655240786132e-02 5.708103871175057575e-01
-1.035418662706752146e-01 2.803023640518685911e-01
3.693431015517312233e-02 -1.334958774434435447e-01
-9.293367607829181032e-02 -3.364154291454672374e-01
-5.650784092617699289e-02 -4.558529495639843110e-01
1.543524850282134708e-01 -5.830079409072856933e-01
-2.172753698938920952e-01 -5.680701712801563552e-01
-1.420550272551437121e-01 -3.468965537906816832e-01
-2.199903697581717665e-01 -4.211505979526734555e-01
-8.658418802029277384e-02 -7.540990350053394797e-02
-7.931688313994809947e-02 6.587970512507026477e-01
-7.995221288594325793e-02 2.336230561217391144e-01
-3.156306905167442778e-02 -4.580789306160109597e-01
-5.390434144594248578e-02 1.343460844183137493e-01
4.176066512064290775e-02 1.536733786305739813e-01
-4.072663432790479821e-02 3.475453145757162465e-02
-4.621386097314968827e-02 -1.711473047851383711e-01
-2.884103415712813145e-01 -1.959324544403768520e-01
2.285394108517014577e-01 -7.068482913974016846e-02
-5.424192206780523162e-02 -2.470351142594189309e-01
-7.537561374016887861e-02 3.000405067650419033e-02
7.330071572546702392e-03 -7.250942887714502405e-04
-1.548565136969646816e-01 9.107074854784991125e-02
-1.430624307153464669e-01 -4.070503977199297352e-01
8.175802066398179732e-03 -6.212095368684263097e-02
1.372067775786973629e-02 -2.945100060242319268e-02
