# omega_modGR tau_modGR
1.464426205534587098e+03 4.366887183307274593e-03
1.444959969706147604e+03 4.446022530155583491e-03
1.477490524036046281e+03 4.237999341343552488e-03
1.618283907861498619e+03 4.579694987918160945e-03
1.472813352581804793e+03 4.820030049175455696e-03
1.540354018553412288e+03 2.254547184368569431e-03
1.199855150323850239e+03 2.489703283527393198e-03
1.551665739682882304e+03 5.992904226428139546e-03
1.714496933336754410e+03 3.566669142077078577e-03
1.654494781191774791e+03 2.736701102473350789e-03
1.655421892350442249e+03 3.246031316177208463e-03
1.530518131149200599e+03 2.987501414747018025e-03
1.393426363914044714e+03 3.223114620845169559e-03
1.728152754618605286e+03 2.808205777151679197e-03
1.610495190584478451e+03 3.748117872505299375e-03
1.604358937054233138e+03 3.876835399645298975e-03
1.618677180264512117e+03 5.104332285952694302e-03
1.646881625751085039e+03 2.748867913844131334e-03
1.518071341569913557e+03 3.059897603097331848e-03
1.579587410773573993e+03 4.644701288564642878e-03
1.553109373675407824e+03 2.347576269729671414e-03
1.383490672205359033e+03 2.365347014314554165e-03
1.699305724270161136e+03 2.452070842521839825e-03
1.680975006936715317e+03 3.397884649056552315e-03
1.553056797659629638e+03 5.221722393308161903e-03
1.644764566630697118e+03 3.155353665592003018e-03
1.343875630925861287e+03 4.646399849391590758e-03
1.560279019032795304e+03 3.059610132864658879e-03
1.530203019223754836e+03 6.394037848861939058e-03
1.654392542769934607e+03 3.345270101513005048e-03
1.478119109978094684e+03 3.609190249342571297e-03
1.614769593778226181e+03 2.790390044189264892e-03
1.546070941226768355e+03 2.407145706213956963e-03
1.480791334040883612e+03 6.586620043644751503e-03
1.444822169578776993e+03 3.375337155528710092e-03
1.445373481872776438e+03 5.172317185819361694e-03
1.582939400350155893e+03 4.719608375331543759e-03
1.537448923814495856e+03 5.207523212974295677e-03
1.623501862221321517e+03 2.986309833303598792e-03
1.661003639122737013e+03 4.936845401791976028e-03
1.178917182489639345e+03 3.986590031650908382e-03
1.359508229230487814e+03 3.187478132381420595e-03
1.635611117898412431e+03 2.603717823679949951e-03
1.591662998546126573e+03 3.847083339019031004e-03
1.406280924035528415e+03 2.914694829624712904e-03
1.608620858150658250e+03 3.956018739385013666e-03
9.875632597715060683e+02 5.203008456102366230e-03
1.529698840200939685e+03 4.333487084102662784e-03
1.675668102803964530e+03 2.902043522199923044e-03
