# omega_GR tau_GR
1.645280463245747114e+03 4.153962396593255391e-03
1.650830553469248571e+03 4.138632807660867600e-03
1.688891076682215953e+03 4.008549476307871756e-03
1.686559129977994189e+03 4.012864581822683449e-03
1.691397885922570822e+03 3.993676682535461132e-03
1.688619001312449427e+03 4.002935721374798438e-03
1.690495395271104144e+03 3.896912130042723757e-03
1.672481457802496379e+03 3.962746571911577621e-03
1.672411903846997348e+03 3.978785414485471426e-03
1.706327299816856794e+03 3.760409148197330857e-03
1.709005812448915094e+03 3.757146467976161999e-03
1.685286369758787941e+03 3.957912323535552578e-03
1.686158625800009759e+03 3.983455463924117333e-03
1.682538066458002049e+03 3.988684953100465024e-03
1.687612743895518634e+03 3.916127125201185506e-03
1.668133969520401934e+03 3.987773021351143955e-03
1.685600514173888996e+03 3.781079896359571327e-03
1.693710792820513234e+03 3.800323293538703309e-03
1.689922780198091232e+03 3.762863317103638458e-03
1.689132789906577727e+03 3.733106572532736422e-03
1.662715405622750723e+03 3.797477516574100827e-03
1.722301078027154745e+03 3.759372869053739970e-03
1.714900919586110604e+03 3.768860334110044931e-03
1.699052550416337453e+03 3.651770013737826778e-03
1.693420570472261943e+03 3.789762615662424592e-03
1.708122680351523968e+03 3.652989350858401509e-03
1.694946208684027397e+03 3.788372733490761538e-03
1.698212567094912401e+03 3.783636757306578936e-03
1.699043080471293251e+03 3.802374633186231603e-03
1.695635366891855256e+03 3.956111997191489107e-03
1.671873245871139488e+03 3.882907820409612753e-03
1.632652588926839599e+03 4.033427287712515290e-03
1.628251292100841511e+03 4.030359059049599263e-03
1.621990451800383880e+03 4.056327019503307152e-03
1.623684951121089853e+03 4.069963220228108546e-03
1.666340794828646949e+03 3.871867657291027786e-03
1.698615172168148320e+03 3.881200938284481809e-03
1.708048340737049102e+03 3.911629598453768980e-03
1.712652776319100212e+03 3.876904623566090717e-03
1.711483176969251417e+03 3.852689402078265934e-03
1.715803595187652263e+03 3.803792321317528858e-03
1.715815601536615532e+03 3.795901700157875217e-03
1.717791253147869384e+03 3.800613859286475736e-03
1.709206866172095715e+03 3.837673744305296862e-03
1.713856810647082739e+03 3.811199150087911641e-03
1.715305503078076072e+03 3.612678184247848558e-03
1.716701966914927198e+03 3.610991783342431746e-03
1.717124867667767376e+03 3.612130120806090680e-03
1.713763162069060854e+03 3.784157855553200566e-03
1.717750008374649497e+03 3.773570240878647720e-03
1.715080106180134408e+03 3.766491729503893774e-03
1.717959704406687251e+03 3.758860307974471165e-03
1.717281931283179802e+03 3.765052224197573336e-03
1.661256140121447743e+03 4.081536469393519037e-03
1.673660543294829040e+03 4.048242728462990957e-03
1.398863312493203921e+03 4.525308834435562769e-03
1.680491553425395296e+03 3.857837964128041537e-03
1.683360260250007514e+03 3.860476022776178351e-03
1.675762371084517781e+03 3.793823659308985432e-03
1.668445818668155425e+03 3.796434727970150746e-03
1.425270114553885151e+03 4.177989470864480227e-03
1.592204762223067519e+03 3.774886030809059163e-03
1.470093092317828223e+03 4.108913871238277331e-03
1.625214523458849044e+03 3.736377857369944933e-03
1.631527946679885872e+03 3.728646815373535574e-03
1.634683127076474420e+03 3.718648116050929462e-03
1.487699615910639068e+03 4.134095676646333539e-03
1.626632745500830652e+03 3.918090799062960705e-03
1.642634785057963882e+03 3.923168362658926642e-03
1.373207261725838634e+03 4.339484315137510061e-03
1.666897353503070690e+03 3.946837601970004140e-03
1.687238298976275928e+03 3.932600067814481966e-03
1.689956533289655454e+03 3.992340448454270718e-03
1.683589447568401511e+03 4.010922946384191598e-03
1.679567968122186130e+03 3.999343601290633425e-03
1.675783407526481142e+03 4.039853583294847686e-03
1.677613935925740634e+03 4.013374272588302732e-03
1.650961619555419475e+03 4.079125520316645090e-03
1.636171883221746157e+03 3.979920569421977958e-03
1.643614638803411935e+03 3.949426958933834921e-03
1.643294579430515569e+03 3.946098818434914772e-03
1.647051275506213187e+03 3.946009831834347385e-03
