# freq_modGR tau_modGR
2.188136608117271749e+02 2.835903297834820036e-03
2.187863836661512096e+02 2.520871706045672064e-03
2.360956198662296686e+02 3.836264811731203775e-03
2.494870517827568221e+02 5.189834083954478726e-03
2.448099154290665354e+02 4.755998544996967690e-03
2.500517842346662292e+02 4.730514750218270219e-03
2.505897097220604621e+02 5.960933669206663031e-03
2.632243693987963979e+02 3.323694784295004676e-03
1.662350931358961077e+02 2.415238800895721377e-03
1.977396872884643244e+02 2.808357403527574243e-03
2.512143549358171413e+02 2.935770907350886139e-03
2.789062967095214844e+02 4.307151302722220070e-03
2.469495898339374094e+02 4.396045586871888226e-03
2.529431977620031375e+02 4.598524938181128806e-03
2.645824470330173313e+02 3.596054498429773153e-03
2.483503190970038474e+02 7.203195450387167575e-03
2.205562809460456606e+02 2.528932875778096973e-03
2.715496028715274406e+02 3.569191228398436218e-03
2.846272567066372403e+02 1.961910752751446982e-03
2.569123935619246026e+02 3.211403050598080674e-03
2.538355944503625210e+02 3.958467912333675856e-03
2.305922362197830182e+02 4.093319054527443969e-03
2.330706694041374476e+02 4.366887183307274593e-03
2.299725217486487452e+02 4.446022530155583491e-03
2.351499202717715775e+02 4.237999341343552488e-03
2.575578832622268237e+02 4.579694987918160945e-03
2.344055253151407214e+02 4.820030049175455696e-03
2.451549561642406445e+02 2.254547184368569431e-03
1.909628781683099135e+02 2.489703283527393198e-03
2.469552724968728228e+02 5.992904226428139546e-03
2.728706618564402220e+02 3.566669142077078577e-03
2.633210227464147692e+02 2.736701102473350789e-03
2.634685770701123602e+02 3.246031316177208463e-03
2.435895260641650282e+02 2.987501414747018025e-03
2.217706936514864253e+02 3.223114620845169559e-03
2.750440533154263107e+02 2.808205777151679197e-03
2.563182704072438014e+02 3.748117872505299375e-03
2.553416553258401791e+02 3.876835399645298975e-03
2.576204745091480390e+02 5.104332285952694302e-03
2.621093514255020409e+02 2.748867913844131334e-03
2.416085579769968206e+02 3.059897603097331848e-03
2.513991444703424918e+02 4.644701288564642878e-03
2.471850339827987568e+02 2.347576269729671414e-03
2.201893792030119528e+02 2.365347014314554165e-03
2.704529058419494731e+02 2.452070842521839825e-03
2.675354815679112903e+02 3.397884649056552315e-03
2.471766662499995846e+02 5.221722393308161903e-03
2.617724110016745271e+02 3.155353665592003018e-03
2.138844495625903903e+02 4.646399849391590758e-03
2.483261184816428226e+02 3.059610132864658879e-03
2.435393744436031227e+02 6.394037848861939058e-03
2.633047509962049730e+02 3.345270101513005048e-03
2.352499628316066378e+02 3.609190249342571297e-03
2.569985628042965686e+02 2.790390044189264892e-03
2.460648326669793846e+02 2.407145706213956963e-03
2.356752605002486121e+02 6.586620043644751503e-03
2.299505901772190271e+02 3.375337155528710092e-03
2.300383342539963678e+02 5.172317185819361694e-03
2.519326301806480046e+02 4.719608375331543759e-03
2.446925959763918286e+02 5.207523212974295677e-03
2.583883464914205206e+02 2.986309833303598792e-03
2.643569396600102550e+02 4.936845401791976028e-03
1.876304970891961545e+02 3.986590031650908382e-03
2.163724548561417009e+02 3.187478132381420595e-03
2.603155943895931728e+02 2.603717823679949951e-03
2.533210339550842605e+02 3.847083339019031004e-03
2.238165604360925158e+02 2.914694829624712904e-03
2.560199611354038893e+02 3.956018739385013666e-03
1.571755744085807009e+02 5.203008456102366230e-03
2.434591318599188696e+02 4.333487084102662784e-03
2.666908615426692108e+02 2.902043522199923044e-03
2.392894347015297569e+02 4.883282203017812705e-03
2.916922152288658481e+02 2.734111297050500090e-03
2.621373564300624253e+02 4.989424022643707338e-03
2.578409989745263715e+02 3.190650576619024834e-03
2.718045894778257434e+02 4.379037371702452358e-03
1.747014862777971302e+02 2.617427272711280502e-03
