# mf_modGR af_modGR
7.262728992765754299e+01 6.743897491734446303e-01
6.878610399056026381e+01 6.780802597658612818e-01
6.034641011777848263e+01 3.674415080605155648e-01
5.775607037553898948e+01 4.701418885307784290e-01
7.423711418397066097e+01 7.738346410747317661e-01
7.099107336572160420e+01 7.061441894041862177e-01
4.487561382520504338e+01 -1.560419651106077499e-01
7.937326052484681327e+01 8.234247552586877461e-01
7.590429872451127835e+01 8.318720307552383009e-01
5.565620255826419083e+01 4.894273517455283162e-01
8.179736293171011141e+01 6.190817733596722938e-01
6.726653236776219558e+01 6.616284739402573667e-01
3.001815786256193164e+01 -1.494583711878918919e+00
5.244098098242226058e+01 1.359491384514154300e-01
6.370358194193521939e+01 5.454431281251927999e-01
8.098116357766666340e+01 8.152698293435085564e-01
6.718455539887487760e+01 2.991481460509012313e-01
6.485914166466361053e+01 7.081991519514412303e-01
8.106658157726801051e+01 8.143550165826549669e-01
7.212531706571105872e+01 7.078254906872498697e-01
6.779751267779235491e+01 6.791527341374903326e-01
7.153658386301354710e+01 7.388609391690912354e-01
4.867565099006359475e+01 -2.898914967851631275e-01
3.975239365582021378e+01 -8.897043220251699136e-01
6.648422693411342266e+01 5.634474213872576742e-01
7.774807079895660422e+01 8.231505752404966181e-01
7.506180430971153328e+01 7.706160187650169524e-01
7.411131359949966679e+01 7.794156251492861953e-01
8.254819160282731616e+01 8.742708940100931692e-01
5.809604695311270461e+01 5.210765733354495444e-01
1.058014434305465201e+01 -5.411222154827258990e+00
4.459196445298758249e+01 -8.467715275387641682e-01
5.232741515588752890e+01 2.305847722846947612e-01
6.698514416928775006e+01 7.876578237400397864e-01
7.155030516681442521e+01 7.267566591156353617e-01
7.260955438133537143e+01 7.700534993405210304e-01
6.143833169892108259e+01 6.166217921051132533e-01
8.935282027080091893e+01 9.172670820705248751e-01
4.032705509987248860e+01 -8.198191652735309365e-01
6.061792528864971530e+01 6.346840303131284777e-01
3.131948596835968246e+01 -8.128574207357259773e-01
5.677227294459401463e+01 4.383675760645895370e-01
6.639803871470583374e+01 6.672401805388665785e-01
7.010704433445836514e+01 6.085185861694937248e-01
7.290597157359661651e+01 6.780499490929992046e-01
7.410088968382814301e+01 6.818066233346401495e-01
7.129572252923118469e+01 6.601050747492062110e-01
7.184378287092415860e+01 7.778710131951652729e-01
7.711398173112506527e+01 7.528109834737626294e-01
3.563031730358904525e+01 -8.761714899470396389e-01
3.055185697957551838e+01 -2.202899541540449757e+00
8.343602300377547465e+01 8.714960507408867629e-01
6.049189458245384543e+01 6.386020137190568935e-01
4.873186491712844770e+01 1.774212000732154904e-01
5.701611911500233987e+01 4.907895895951095433e-01
5.322640215786704943e+01 2.004159776562997042e-01
5.735933560954357802e+01 1.577414491692179510e-01
5.000496563414960605e+01 3.253103785057374076e-01
6.383972833977595940e+01 6.262006765962822019e-01
6.537304476312509394e+01 6.541765798368471829e-01
7.585234024033118772e+01 8.296395631445839802e-01
4.894795833672787921e+01 1.770006677769815351e-01
5.454218391312723924e+01 2.359183538043442274e-01
7.320769424924181124e+01 7.722469815676977767e-01
3.871148940830833851e+01 -5.973935698140913075e-01
3.475901909450526972e+01 -1.300122060856952366e+00
4.309846194657149709e+01 -5.177728112457247178e-02
5.882919606610863639e+01 5.676815755039048561e-01
7.835453109794337934e+01 8.217844120467709956e-01
5.577149168231544252e+01 4.401114806469196283e-01
7.824294513948997576e+01 6.576511374876610194e-01
5.452342878754519262e+01 2.932117409052610313e-01
8.640965072013915460e+01 8.859659831545160236e-01
5.838143886713406516e+01 5.297129817221823966e-01
6.348544138807886128e+01 4.806934937992258794e-01
4.967105845899330063e+01 1.656918934963911294e-01
4.026467324850958818e+01 -4.948885363827670858e-01
8.917891121460277759e+01 8.851227545433917321e-01
6.008495947304320595e+01 3.345161948824388887e-01
8.080870508775595340e+01 7.825846658691603119e-01
7.375963059966299795e+01 7.822202075515930497e-01
7.865774893263659351e+01 8.161543637146568830e-01
5.317948880588878779e+01 3.234548535162378169e-01
7.365413535568629300e+01 8.265050725091429573e-01
7.106421782470721382e+01 2.610970359888818981e-01
5.648293109049639327e+01 6.450855896402429845e-02
4.599380181864135864e+01 1.485504959303984851e-02
6.521856749696813438e+01 6.398608570893414837e-01
5.099327556711376985e+01 -1.055062071997361350e-01
6.616568335216956598e+01 6.739752397477108969e-01
9.210291566474411695e+01 4.245430295449660330e-01
7.135749995120121980e+01 7.062679421307862526e-01
5.166944609623553930e+01 3.291520961927392186e-01
7.694233474935424510e+01 7.726540899838182375e-01
4.855329074108642118e+01 3.831547341619646607e-01
7.435451250333021278e+01 8.274090975402579318e-01
5.643043908456088076e+01 4.339143833917621373e-01
6.840384210645704854e+01 7.827698310809340088e-01
2.854205726768092433e+01 -2.719772162153217376e+00
8.195576577384409234e+01 5.399791984107338294e-03
6.637708728383900336e+01 6.157392508926295971e-01
5.584471098781217080e+01 2.587765114864089000e-01
6.552024920979837930e+01 6.660671497946046848e-01
5.402753292996058576e+01 2.860253651591048163e-01
5.772231139079796236e+01 4.599526572243709532e-01
-7.069136593288092740e+01 -4.520890996489351465e+01
6.637790863705889421e+01 6.542250232091372242e-01
6.678296715649159410e+01 6.288059902714224769e-01
8.421807531680768477e+01 8.134354352095689578e-01
6.381959595464989121e+01 1.378018314217906992e-01
4.486882676525247149e+01 1.236908410090287180e-01
6.197785727870873984e+01 6.079490423187701165e-01
3.836400728211317102e+01 -2.017405381581922619e-01
6.670960748412444730e+01 6.484610991726560414e-01
4.714163397664670896e+01 3.308983077940141904e-02
3.693976399535275590e+01 -4.486783228098771836e-01
-3.217124773432962659e+00 -8.172221708422764408e+00
5.411676288929586320e+01 3.882979046394315903e-01
7.386504861688192136e+01 8.279604869799221945e-01
6.865984442693009271e+01 6.048693729648483286e-01
7.463988530653847420e+01 5.620571208129258034e-01
5.686861119561299205e+01 4.714514570372063673e-01
5.141710319687794595e+01 -2.804663781524929789e-02
4.265261653180910173e+01 -3.481406408847487199e-02
5.748217698925534336e+01 3.717657799483764514e-01
7.326422421860813472e+01 7.433583728138118962e-01
8.129392955553960576e+01 8.306614740318648549e-01
1.514314594514169876e+01 -3.452869870334631663e+00
5.536982490395268997e+01 1.849318918876773354e-01
4.006977877186586312e+01 -4.057469415007797231e-01
5.847287449331393816e+01 5.111615313730730747e-01
2.704834248290899623e+01 -1.832877998278115150e+00
6.938554264710067798e+01 7.101885693652123521e-01
6.165541706627666230e+01 6.207644375993016661e-01
7.263369460988919002e+01 8.459137852761813292e-01
7.886852645076776014e+01 8.366554332686007012e-01
5.816369373883042471e+01 4.866019252778511772e-01
4.498365419596632364e+01 -3.181174386551985922e-01
2.685388444688517495e+01 -1.919800561031330233e+00
4.867856663199913214e+01 -2.792228357502437586e-01
1.295144844254880567e+01 -3.840493627741980553e+00
2.143891139737883833e+01 -2.848333617215066393e+00
3.732605097208588063e+01 -1.370438985047386815e+00
5.883457075801374003e+01 5.616259017619262828e-01
5.183319083802200566e+01 1.631794083883780777e-01
6.871405838656282583e+01 7.335940164735570423e-01
7.977221500034076485e+01 8.905233759636778101e-01
6.172846650279423386e+01 5.107333948169441307e-01
7.374236308429659914e+01 7.352141339284874455e-01
3.388049503871462065e+01 -5.932813338498885702e-01
3.855166137466996190e+01 -1.640181977842585237e+00
8.263128375340774312e+01 8.766336017872253805e-01
5.492620316692094917e+01 2.799397581883334984e-01
6.923651648398440273e+01 6.745074968020197126e-01
5.961000285660494313e+01 6.226628273729866159e-01
6.076285516505392792e+01 4.232107225801975403e-01
5.987653277760079362e+01 5.492826972083515447e-01
7.567058011448206400e+01 8.521526844051319216e-01
5.334691214534569070e+01 6.074052612737168566e-02
7.114019156036883373e+01 8.407971857193692333e-01
5.715864089422362326e+01 4.940772802039534728e-01
4.940327041607118730e+01 4.229200311238109355e-01
7.425922301538034276e+01 -1.675565083704508851e-01
5.650065509966464816e+01 3.875898935751167507e-01
-4.651832266652385783e+01 -3.780367118242173063e+01
4.613258749760520061e+01 -7.103429534409388957e-02
8.449041020652920508e+01 8.923962610195623757e-01
7.900368980552464393e+01 7.995675777416453300e-01
6.015549833107817079e+01 6.285576408932684878e-01
4.543977696329677229e+01 -2.688034503479119763e-01
3.238664297905884837e+01 -1.158771723874491233e+00
2.231544186664617868e+01 -1.722367626437045107e+00
-1.288904001242293340e+01 -1.172968260373690264e+01
4.247416240026932854e+01 -5.877412784408300173e-01
2.753048352119500564e+01 -2.301118394067329209e+00
6.381206344309673284e+01 5.382118512083788886e-01
8.714493589333069679e+01 8.941101449365251863e-01
7.570958425076194942e+01 7.584413294671693562e-01
3.138673714390268898e+01 -1.084045846325684348e+00
7.317613600654014760e+01 7.310817681976262694e-01
7.348554766379264436e+01 7.711975294257310543e-01
6.983789213672110918e+01 6.433848442521514777e-01
5.850064135850661984e+01 3.583734501937254624e-01
5.157060424234000351e+01 -7.175661465130569461e-01
6.514112484166771821e+01 7.539826735053533069e-01
5.251294591625318020e+01 9.311119174597015657e-02
6.679546550672354499e+01 6.300244494567632803e-01
6.914608915751345819e+01 6.715506711880470103e-01
6.682205371428031526e+01 5.166055528123005836e-01
2.611309347603967979e+01 -2.070589072379382056e+00
6.217158260526803559e+01 6.124432061427402818e-01
6.247765668176865006e+01 6.522534937772120900e-01
6.189501195598978001e+01 5.692044251239231079e-01
