# mf af
6.291018509116529600e+01 6.804054985309746506e-01
6.325176300348985592e+01 6.844789721749974243e-01
6.725038421421800194e+01 7.263675847642508954e-01
6.700969651742516930e+01 7.261452875432042875e-01
6.510779598377891375e+01 7.197998130833003216e-01
6.518616848497904925e+01 7.195806864637656064e-01
6.491745839516534033e+01 7.182006867313891485e-01
6.505429465469873662e+01 7.186834328154890761e-01
6.393513372169377362e+01 6.995534930645818106e-01
6.488047690825655422e+01 7.041586490687912203e-01
6.504706537510568864e+01 7.071647954448742057e-01
6.225798655472823384e+01 6.785306862744732159e-01
6.218944329330177823e+01 6.791207473664830907e-01
6.464067842105764328e+01 7.089476334135058622e-01
6.488947361243336331e+01 7.140691563472721937e-01
6.499425554982515507e+01 7.134371675325171802e-01
6.417153198570520090e+01 7.019690150062838363e-01
6.519683856978835479e+01 7.069150188694833803e-01
6.274979234762736269e+01 6.728904399732975605e-01
6.285195647250031925e+01 6.811363316492405895e-01
6.249229955621478894e+01 6.709673892000592721e-01
6.217258794934622301e+01 6.637496775809106353e-01
6.323078722473366042e+01 6.648571618445858755e-01
6.205004717132143810e+01 6.859457137238362812e-01
6.224781343421551583e+01 6.844983284017045477e-01
6.113598823117709458e+01 6.493045338310476922e-01
6.275524576582371594e+01 6.786835584107567820e-01
6.104595120788339102e+01 6.544687609189451249e-01
6.272034371881781567e+01 6.791289905406449057e-01
6.262589482225509130e+01 6.796878538658983615e-01
6.281711225263786957e+01 6.841197615588371361e-01
6.446857009868189436e+01 7.130755220752059698e-01
6.404623927775139691e+01 6.879671989792542908e-01
6.619251231475618624e+01 6.991085661932311401e-01
6.622300091353133666e+01 6.964101769173272061e-01
6.659647778293398801e+01 6.984354441444521333e-01
6.671456155380977293e+01 7.018404348210119936e-01
6.399144584609787501e+01 6.829611412627493161e-01
6.365242741986519803e+01 7.001507381028466703e-01
6.384199487699569175e+01 7.102157796242996035e-01
6.341869640686765308e+01 7.055617953114557972e-01
6.318039026955349158e+01 7.002725933612290454e-01
6.260647936351668363e+01 6.923010629066839172e-01
6.252190453181326291e+01 6.906545785025334228e-01
6.254706204645775358e+01 6.925547862420851075e-01
6.305750147014936147e+01 6.962401635751160889e-01
6.271115565960862881e+01 6.929437404585322424e-01
6.050230825431869164e+01 6.481401250243014056e-01
6.046787429124664470e+01 6.484741953234340883e-01
6.047546361837263618e+01 6.489666245216417773e-01
6.242339472132501044e+01 6.872367165203536743e-01
6.225837322010075070e+01 6.868502695074191200e-01
6.221732857060241884e+01 6.840785561815767579e-01
6.209698615078394823e+01 6.837869373818370455e-01
6.217368152708171181e+01 6.848052122937605679e-01
6.626823290697005575e+01 7.208244652088042770e-01
6.574057839041122975e+01 7.203238814021467595e-01
7.532619905943148808e+01 6.673728846934126047e-01
6.364985106842107854e+01 6.868780916461805219e-01
6.364039382975471426e+01 6.887992558847262359e-01
6.301669253224550005e+01 6.707483111067817916e-01
6.314027176423712007e+01 6.676027801104886805e-01
7.092513388261863838e+01 6.095783300277450856e-01
6.388622465344026580e+01 6.191526585719198117e-01
6.945186516408023181e+01 6.238482093333590495e-01
6.301703958407880179e+01 6.292637486198733310e-01
6.284815197517175989e+01 6.309878907982554574e-01
6.269272006270784914e+01 6.302646237252234052e-01
6.948656695195762723e+01 6.411039394903474964e-01
6.505277401281742300e+01 6.727572211945672676e-01
6.488840822336766223e+01 6.819813166797406012e-01
7.364841236217509390e+01 6.104759824930504619e-01
6.480018141157617606e+01 6.984525994785055758e-01
6.436286678482244383e+01 7.050084426082392497e-01
6.492905357563867597e+01 7.173223786009782499e-01
6.521740572170226358e+01 7.179401095690480794e-01
6.515578732444569710e+01 7.141218146035042125e-01
6.562681723617667728e+01 7.197565331318424020e-01
