# freq_GR tau_GR
2.667369611931161444e+02 3.989731003498027222e-03
2.679688364173917989e+02 3.961708825278895119e-03
2.686489208368763570e+02 3.967941957461091317e-03
2.690599657490389518e+02 3.972063619995758361e-03
2.689528067300367411e+02 3.992390371219679303e-03
2.664458733059794326e+02 4.081690316422007317e-03
2.710736532694663197e+02 3.825115415585580731e-03
2.491439385700244031e+02 4.486491112726693001e-03
2.484056837711060552e+02 4.487972643990117104e-03
2.709527708428037727e+02 3.804440402115961267e-03
2.683724939296762955e+02 3.830016793507585050e-03
2.690519356432555469e+02 3.963807589366298567e-03
2.678909739020483585e+02 3.966474922943889932e-03
2.643389015245801374e+02 4.041849117612522288e-03
2.638906313356382611e+02 4.047001547997770149e-03
2.686312984873233631e+02 3.889414190365207431e-03
2.703404067492437548e+02 3.884323725028287263e-03
2.644851321818169367e+02 4.113189322938221038e-03
2.648142150619792687e+02 4.182425949139124098e-03
2.652638950306446759e+02 4.216936107046155915e-03
2.643388552268755234e+02 4.213549498102802521e-03
2.721340921160463040e+02 3.710946513072813525e-03
2.712726806314454961e+02 3.813059339386856445e-03
2.578643105596959799e+02 4.115717556296459058e-03
2.690231507758158500e+02 3.789068448579787935e-03
2.672983214133421939e+02 3.796026647406977074e-03
2.558501011959332629e+02 3.959658643236451531e-03
2.732750652105489166e+02 3.800543377656236121e-03
2.556855579037127768e+02 3.982354480262257496e-03
2.741454741632348373e+02 3.543149087361357509e-03
2.578497008130852919e+02 4.044735859119546161e-03
2.605335448120890760e+02 4.042618817112029507e-03
2.604389559951688966e+02 4.057711647543576355e-03
2.598773423970856697e+02 4.059974446554219865e-03
2.607261829835925937e+02 4.046310703222068261e-03
2.498748106449291413e+02 3.984760400338605534e-03
2.567349483050830372e+02 3.883586817674268641e-03
2.605711368946053881e+02 3.885403602879764287e-03
2.714908087212889995e+02 3.777657556585092488e-03
2.604619280958739864e+02 3.999244067096095062e-03
2.610949754551471642e+02 3.998274345321553049e-03
2.610891410551107583e+02 3.999232360740075966e-03
2.628045328632596238e+02 3.985234367754906214e-03
2.691581812887709475e+02 3.802803537108068524e-03
2.685804723765656377e+02 3.829934813263284957e-03
2.618545184980840759e+02 4.153962396593255391e-03
2.627378427917603290e+02 4.138632807660867600e-03
2.687953631977679265e+02 4.008549476307871756e-03
2.684242223527641613e+02 4.012864581822683449e-03
2.691943342797588343e+02 3.993676682535461132e-03
2.687520610577760181e+02 4.002935721374798438e-03
2.690506984314836814e+02 3.896912130042723757e-03
2.661836912388064889e+02 3.962746571911577621e-03
2.661726213829771837e+02 3.978785414485471426e-03
2.715704242984992902e+02 3.760409148197330857e-03
2.719967228240254258e+02 3.757146467976161999e-03
