# azimuth cos_altitude psi t0 logA0 f0 tau0 phi0 logL logPrior
2.083129462002470955e+00 7.998726011225094634e-01 2.776842035746433179e+00 5.120911576708885200e-03 -2.056461729513100067e+01 2.553094060529539888e+02 4.739410267616570721e-03 3.856355913473897612e+00 7.703703709638202563e+05 0.000000000000000000e+00
1.753370752296448121e+00 9.229675770635464849e-01 5.668958680342077727e-01 5.054703203440128259e-03 -2.036439475828630563e+01 2.318179456377866927e+02 5.651524700157752740e-03 4.194554739484162909e+00 7.703704501813219395e+05 0.000000000000000000e+00
1.779693565127374200e+00 8.505138075457139291e-01 2.264185465151437704e+00 5.584721661742744758e-03 -2.049663725984136065e+01 2.330996684907290728e+02 5.549303016914340810e-03 2.710959912408643646e+00 7.703705701059600106e+05 0.000000000000000000e+00
2.076748794305130374e+00 8.366543994490709402e-01 1.035214936029025534e-01 5.048164118397762898e-03 -2.048974680237411050e+01 2.179512248028392207e+02 3.144775786090835048e-03 4.626892952882450949e+00 7.703706426057443023e+05 0.000000000000000000e+00
2.328397323142177289e+00 8.133076925950961655e-01 9.576070285225751766e-01 5.062543053404496181e-03 -2.050951548042696970e+01 2.260136572830030559e+02 4.006661434137291991e-03 6.120056530423240160e-01 7.703706778452424332e+05 0.000000000000000000e+00
1.728927465491546744e+00 8.835318070960639369e-01 1.910555420274193894e+00 5.269621285074806150e-03 -2.034509495445205118e+01 2.413369842140064634e+02 3.279897591273269863e-03 1.297543018439971663e+00 7.703708908654032275e+05 0.000000000000000000e+00
1.924264685665501906e+00 8.590863512852561223e-01 1.113383143996715008e+00 5.554872299938822672e-03 -2.045584105751526849e+01 2.405340667052800541e+02 4.666389615918488040e-03 5.021858030463974831e-01 7.703709528949807864e+05 0.000000000000000000e+00
1.718493975448303734e+00 8.326229376419908013e-01 1.695365981101076169e+00 5.566813507475021523e-03 -2.048820723583918735e+01 2.332021255931576889e+02 5.673183399989573626e-03 1.694993327714463094e+00 7.703709665744842496e+05 0.000000000000000000e+00
2.019292918477178400e+00 8.304296713732888247e-01 1.882521034755970213e+00 5.148851525162330585e-03 -2.049046916993831857e+01 2.575758950763867006e+02 4.328739752588519132e-03 1.413201592607144619e+00 7.703710975571497111e+05 0.000000000000000000e+00
1.820336212737644566e+00 7.928112905430904078e-01 5.533457983428171634e-01 5.025420500897661950e-03 -2.033699532614258132e+01 2.154937741189798430e+02 2.672950721045716082e-03 5.311341656029082259e+00 7.703711052862369688e+05 0.000000000000000000e+00
1.792377962633773691e+00 7.926649005924790714e-01 8.362063247210209660e-01 5.034138083406343098e-03 -2.040278136961910249e+01 2.383086569670572601e+02 2.758683894288093720e-03 5.491852698769179142e+00 7.703711220678784885e+05 0.000000000000000000e+00
1.901747917307761382e+00 9.620926087928236559e-01 7.006650223823391865e-01 6.558275199941179627e-03 -2.016433825803022373e+01 2.400111634159634093e+02 3.332223093021043168e-03 4.113978669089357609e-02 7.703711238700873218e+05 0.000000000000000000e+00
1.946072147624360982e+00 8.431416829422837544e-01 5.578250820919777864e-01 5.054994175402271854e-03 -2.064461865837553844e+01 2.354351073891526482e+02 8.840813270703634305e-03 5.196706474788601149e+00 7.703711910424944945e+05 0.000000000000000000e+00
