# domega dtau
8.960648692734068943e-02 -2.675800813008346601e-01
4.083409307493311990e-01 -4.433358264067690513e-01
4.536676078196082984e-01 -3.458626421974220211e-01
1.969455448863743630e-01 -3.883001570083038922e-01
1.138724187368474611e-01 -9.734474281682758967e-02
5.023686337866177798e-01 -5.045674831446025355e-01
1.451541821774102736e-01 -5.793676184043268229e-01
4.781554257810863851e-01 -5.717864079254761922e-01
2.435757642745353946e-01 -5.499817648839648854e-01
4.429691075801405198e-01 -6.213244406037877754e-01
1.529898230489839195e+00 -6.169958824256409624e-01
1.244448493093166741e+00 -4.121778175164256819e-01
1.400699508564067219e+00 -6.294728802248910071e-01
-2.009264607600210473e-01 -4.044228526345122754e-01
1.829232913985332942e+00 -3.691806563531731533e-01
1.806087524310614034e+00 5.052317158439039585e-02
1.842193163759518360e+00 -1.386454926347552297e-01
1.821167244242874794e+00 -4.041838482558077206e-02
1.375587758134007910e+00 -7.349199511941713059e-01
7.125653484678901028e-01 -6.834959035843818365e-01
1.797955425159552867e+00 -3.852073975762596580e-01
2.062822529376047986e-01 -4.748224606634757206e-01
2.059352471208212298e-01 1.546437989665363499e-01
7.207814565071492263e-02 1.425162030605302554e-01
1.066767515444873304e-01 6.442807495410107776e-01
9.612136103498861162e-02 3.064255684636529864e-02
9.749731475518214063e-02 2.614480946106073067e-01
1.926881714127692824e+00 -2.391034131817089126e-01
1.084853626180791175e-01 3.261931719772143135e-02
3.905684618993691681e-01 -2.233878437137093442e-01
7.320180415425048270e-01 -6.415953293789513623e-01
3.480227406833998338e-01 -7.990897468306001894e-01
1.903556421658127440e-01 1.467091066214255779e+00
1.905924883218629573e-01 7.508161142737457272e-01
1.376207602710913247e-01 -3.563640448499270086e-01
2.135018875745293698e-01 3.209064288363914219e-01
1.804285650295519572e-01 2.110597657804576532e-01
1.993680373699229513e-01 2.140727662654934027e-01
5.465197841404859092e-02 -1.031130695840616340e-01
4.903853252757349457e-02 1.445352832950312916e-01
6.096259924384333367e-02 9.157972172470370265e-02
6.523217922115441547e-02 4.578831867045278226e-01
6.907587168914096354e-02 1.261488087979194983e+00
9.745394521845653080e-02 1.665538842682902643e-01
8.166505646793049966e-02 -8.700048011321293018e-02
1.022895701770717286e-01 3.271848513199677733e-01
1.037151005785646174e-01 7.207291456590350087e-01
2.499444093287326585e-01 -3.724151406492174354e-01
2.805465912761461178e-01 -4.478246625605834530e-01
1.822290121237174765e-01 -1.715864444563832691e-01
1.691212243432431150e-01 -4.717296412548437345e-01
1.026320734161825787e-01 -2.983463766276783780e-01
6.742065162325151517e-01 -5.716245368848812403e-01
1.390146507268228138e-01 1.803322097165268589e-01
1.432842307041339025e-01 4.790254120614863553e-01
1.355740168107500143e-01 2.133514401544212569e-01
4.937928557862535373e-01 -4.020183101168385287e-01
6.553245148728367719e-02 -5.182172729624145990e-01
1.406176928400242332e-01 -2.755479534312439971e-01
7.982435809955706896e-02 -9.286005132351266012e-02
7.084608913230586169e-02 -7.471887838234575474e-02
1.141562428726704409e-01 -7.946637923490240674e-02
1.928106798618541839e-01 -3.437332704529510452e-01
3.060758295246312488e-01 -4.903741000574068920e-01
2.406889484289048142e-01 -7.490863678741865872e-02
1.435377881097006370e-01 -1.770185668899011966e-01
3.410189058416002728e-01 -3.647904666971770182e-01
1.489233876653565658e-01 1.571910224587408367e-02
3.169431307872707104e-01 -1.125721491540216945e-01
1.554784794957679017e-01 -1.253836409172340849e-01
1.278835527930995974e-01 1.496741497125961551e-01
1.815627342936097843e+00 1.174605638180224454e-01
1.216185677200516124e-01 -2.646782898921534732e-02
8.418801869488604095e-02 -2.876781151434429362e-01
1.950559329096507588e-01 2.918123474681411089e-02
2.022544375599770461e-01 -2.824525821683052107e-01
2.097958512813755949e-01 -2.372627406727010890e-01
2.055080135272701336e-01 -1.438365265849238517e-01
1.500091810855287422e-01 -1.109208443421823287e-01
4.190157653457424886e-02 -3.622949387748674588e-01
2.481740818729737119e-01 -3.590931831538331509e-01
1.772380095104356124e-01 -4.675464428923875593e-01
4.798496877354634094e-02 3.215760893550484445e-02
4.117329639687428156e-02 -6.433062800646491275e-02
5.000559932610766645e-02 -5.271416845454169886e-01
1.149423543306776763e-01 -2.038119480794288452e-01
9.499639323792202772e-02 1.274253607986437498e-01
