# freq_GR tau_GR
2.316012432765569429e+02 5.039473404584477075e-03
2.316752268814622937e+02 5.060134371813732566e-03
2.316163183253806324e+02 5.058757915411435553e-03
2.223471518599508840e+02 5.718953968780130480e-03
2.219806757413298897e+02 5.744672663794995679e-03
2.320941972062016418e+02 5.629536564177383719e-03
2.321507331689507225e+02 5.629630841428440863e-03
2.321661927539545331e+02 5.631555006581176470e-03
2.323218245029437412e+02 5.636552432267898094e-03
2.330423595431838066e+02 5.647385267440809507e-03
2.316082093599473239e+02 5.490712269209024887e-03
2.319094722172838487e+02 5.500026862098566019e-03
2.336982986680662577e+02 5.271444493743824601e-03
2.316684774760919936e+02 5.438710933012894620e-03
2.345008223962017269e+02 5.268095721745531812e-03
2.368590307216255439e+02 5.215976491106278680e-03
2.368041326897837848e+02 5.245659534120258177e-03
2.368000158057455167e+02 5.242667359153211845e-03
2.085395456255252498e+02 6.201121998621337943e-03
2.032903576507586081e+02 6.136167130700322624e-03
2.359616071968148390e+02 5.174106128715054605e-03
2.043206453529435294e+02 6.157847955162400709e-03
2.061500769847768879e+02 6.150869967385096289e-03
2.084705176806576219e+02 6.183137381369333690e-03
2.121504983696819693e+02 6.110484074883034029e-03
2.069859498262358670e+02 6.239945240216046053e-03
2.361024917561902896e+02 5.016531078825895752e-03
2.358754572016297573e+02 5.006986012020945599e-03
2.312778615582152497e+02 5.389794745970693905e-03
2.313021803657392184e+02 5.390911464843601078e-03
2.326264450560715318e+02 5.223661956133605552e-03
2.327196015373467333e+02 5.213583084597302186e-03
2.327696174385434063e+02 5.213120403468461672e-03
2.169081590854733008e+02 5.043440000843908873e-03
2.323798106959229415e+02 5.185342809399708618e-03
2.163874557015857931e+02 5.050904260697353619e-03
2.324849419667235964e+02 5.180294164020430268e-03
2.324913622875007775e+02 5.180192626059558492e-03
2.163479375460714493e+02 5.053033240409614268e-03
2.160590444951356233e+02 5.055364802155462405e-03
2.157736696006183479e+02 5.084579087614420588e-03
2.155399689631403248e+02 5.087496515237249078e-03
2.144522554147785343e+02 5.087505791871882281e-03
2.169482508614088943e+02 6.358771040617577051e-03
2.143897219169895152e+02 5.089931341167395346e-03
2.147467454760396208e+02 5.108617787835559136e-03
2.105270243060562620e+02 6.366060516330230082e-03
2.101329530372074998e+02 6.369108929727951805e-03
2.141161115948457336e+02 6.580804340387216671e-03
2.353157095895101065e+02 4.795522036442268453e-03
2.099490647075414813e+02 6.375181070470139003e-03
2.098716749668566024e+02 6.376060182646193543e-03
2.166742839861434220e+02 6.495396659402494048e-03
2.130814770194033372e+02 6.495728704173369880e-03
2.137766174800329964e+02 6.532750059937368799e-03
2.288710126393863789e+02 5.316463634971331162e-03
2.289554733144528882e+02 5.319431619586273245e-03
2.304789039325850695e+02 5.470939155910409767e-03
2.139370954308657531e+02 6.408751436316869644e-03
2.279514186289243582e+02 5.384038809175210188e-03
2.152455208444793584e+02 6.371867001621297523e-03
2.148234880157620523e+02 6.386983611172845562e-03
2.145217798288184667e+02 6.493354894936119795e-03
2.152482354340133952e+02 6.487489251733807340e-03
2.283287577000656370e+02 5.353899408246712982e-03
2.150106628170305783e+02 6.492922352229146821e-03
2.281554633967690222e+02 5.383170748201186392e-03
2.281989025350995917e+02 5.382019077534126728e-03
2.281647623592832588e+02 5.381824030013527584e-03
2.281354725410031392e+02 5.380200545117577726e-03
2.282658622774561650e+02 5.406781427155725114e-03
2.281105677231169579e+02 5.402686127951840389e-03
2.287838582952196873e+02 5.429384940144117710e-03
2.287733220174599467e+02 5.428607380928976954e-03
2.292378931003839853e+02 5.449444566883739939e-03
2.292959571742575235e+02 5.451299464401264568e-03
2.290077589397538418e+02 5.272063894422559030e-03
2.448542408603824185e+02 4.107420357394203289e-03
2.307535315968189593e+02 5.267000449521942219e-03
2.304657373004845908e+02 5.242948279811185386e-03
2.304676368152960038e+02 5.242587076724589297e-03
2.305096654114309445e+02 5.243918459990835543e-03
2.308240672504428233e+02 5.266962666678556143e-03
2.303459856998626378e+02 5.224968544240157255e-03
2.316695300315885788e+02 5.287429332946225018e-03
2.274314585493330867e+02 5.255383374671786408e-03
2.371189080620620189e+02 4.668375204878392679e-03
2.270512137472543372e+02 5.260877919621352768e-03
2.271891870094757735e+02 5.246959423579332892e-03
2.271589264362291942e+02 5.242456235168229013e-03
2.225814758185668722e+02 5.257291968548027244e-03
2.354235175969201634e+02 5.211928813935375049e-03
2.219122034115441124e+02 5.308319649649650626e-03
2.218846379974741865e+02 5.308594723777965325e-03
2.353955391971343829e+02 5.211030108136069719e-03
2.346755178346917035e+02 5.170772359023411389e-03
2.208158500670974149e+02 5.304713054425839666e-03
2.211643983237627822e+02 5.300637294029205901e-03
2.362269879842149862e+02 5.150013040548748547e-03
2.210331746661998409e+02 5.313985150301937799e-03
2.223857205056829685e+02 5.304117234817008406e-03
2.217501135880762035e+02 5.301975216396860938e-03
2.406765113253952677e+02 5.003266156050172921e-03
2.403155202719870829e+02 5.024213554462628184e-03
2.407599302706386482e+02 5.031612868086619492e-03
2.407872934577524973e+02 5.031829148779076548e-03
2.409248789662492527e+02 5.044955032729885047e-03
2.344679675326125903e+02 5.404120292396084879e-03
2.344871943981245010e+02 5.403906759428938993e-03
2.344675576685398539e+02 5.406640220976886846e-03
2.345934566103884151e+02 5.426281325766467434e-03
2.341334062326642140e+02 5.384920979625351829e-03
2.341783104402142897e+02 5.420938198286836748e-03
2.244418857473420701e+02 5.408421670679780871e-03
2.344940477934103455e+02 5.424166493954240588e-03
2.245491218527884314e+02 5.189002298157598288e-03
2.346139553674576632e+02 5.365896776936684466e-03
2.251047896916345223e+02 5.187490389067675976e-03
2.247528861834766190e+02 5.195912288793390690e-03
2.221111608023330461e+02 5.196082816594838928e-03
