# omega_modGR tau_modGR
4.102684615673386361e+03 5.731385214219202572e-03
1.612495169122850939e+03 5.167097910838445302e-03
1.438195736920161153e+03 3.866167038721350126e-03
1.658531660458030956e+03 5.914257803105753795e-03
1.668414416776330427e+03 4.123567516933763014e-03
1.665573246942318065e+03 4.398736427409917667e-03
1.660876803014315328e+03 4.934494248049382456e-03
1.551390647793770995e+03 5.269924611759815164e-03
1.503533161619957127e+03 3.411317810723041299e-03
1.696250411196230516e+03 3.629611159577791554e-03
1.597004836192695166e+03 3.025904955317862410e-03
1.512514133222367263e+03 5.530834936684362983e-03
1.503563486346901755e+03 5.018817549039791132e-03
1.517881582170188722e+03 2.542493110023929907e-03
1.567038902435610908e+03 4.153738951691490072e-03
1.527843394688434728e+03 6.335581363892101199e-03
1.584090314740567692e+03 8.640398252615899208e-03
2.009116611741402266e+03 5.598294845059954492e-03
1.949890334421486614e+03 4.827772544470135783e-03
1.480786888297599262e+03 5.459157618705467140e-03
1.464912042954855224e+03 4.242058251790796486e-03
1.588631696867147184e+03 4.666221047878904744e-03
1.588393588936043898e+03 7.194955142285580293e-03
1.617403482950449870e+03 4.610308808668895329e-03
1.945866788676742544e+03 3.370918610714708063e-03
1.948103007436846838e+03 3.317011278678896717e-03
1.906341203712642027e+03 3.317807796476710414e-03
2.420896491362566849e+03 2.205688288172028694e-03
2.014725361890500153e+03 3.397292609957010354e-03
1.850897349952773993e+03 3.439838812361051008e-03
1.949724496440735720e+03 3.098070751313475053e-03
1.588255741450014057e+03 4.644468749735202427e-03
1.502461433545002365e+03 4.296725422372054369e-03
1.542905823063586695e+03 3.809933675170713765e-03
1.664596190358362264e+03 5.506516016247653758e-03
1.519436923015324965e+03 5.183370294104277035e-03
1.485822980870959555e+03 3.308810647119395532e-03
1.491176793218289276e+03 6.030085597938308374e-03
1.633211118970437383e+03 4.005970360134277625e-03
1.493937338938479115e+03 5.472546823292140199e-03
1.756835884968182199e+03 5.798546399658785142e-03
1.654638211633639457e+03 3.324469680703113269e-03
1.654066171466179412e+03 4.119841967879533419e-03
1.631602993341820138e+03 4.119432322051550487e-03
1.633766220527760652e+03 4.116731795484743391e-03
1.529507995401472272e+03 3.673317641291899086e-03
1.611399734837930964e+03 3.374408168869802004e-03
1.508119912332909962e+03 4.279021105155262142e-03
1.503238964500065777e+03 4.540723285121066495e-03
1.549468174858003295e+03 8.488857606184500859e-03
1.555460360973344677e+03 7.587944560186229113e-03
1.599936940827821445e+03 3.288141291608565053e-03
1.585654812931764809e+03 3.883710134120634590e-03
1.625912666084880811e+03 3.882544595652731492e-03
1.782944858861100101e+03 2.961267212591933706e-03
2.464439026417589503e+03 2.672844725658946301e-03
1.574960232857728215e+03 6.419014980003460123e-03
