# omega_GR tau_GR
1.427281628978803838e+03 5.242456235168229013e-03
1.398520658513567696e+03 5.257291968548027244e-03
1.479209586729503599e+03 5.211928813935375049e-03
1.394315495959261625e+03 5.308319649649650626e-03
1.394142297354591165e+03 5.308594723777965325e-03
1.479033793259051208e+03 5.211030108136069719e-03
1.474509765613695890e+03 5.170772359023411389e-03
1.387426904733956917e+03 5.304713054425839666e-03
1.389616898019079827e+03 5.300637294029205901e-03
1.484257940061708268e+03 5.150013040548748547e-03
1.388792395461925935e+03 5.313985150301937799e-03
1.397290691607853205e+03 5.304117234817008406e-03
1.393297055562004743e+03 5.301975216396860938e-03
1.512215119742964816e+03 5.003266156050172921e-03
1.509946946060167193e+03 5.024213554462628184e-03
1.512739256434058461e+03 5.031612868086619492e-03
1.512911184409289717e+03 5.031829148779076548e-03
1.513775659654757419e+03 5.044955032729885047e-03
1.473205688605171645e+03 5.404120292396084879e-03
1.473326494564059203e+03 5.403906759428938993e-03
1.473203113353251865e+03 5.406640220976886846e-03
1.473994159734864297e+03 5.426281325766467434e-03
1.471103577960985149e+03 5.384920979625351829e-03
1.471385719418094368e+03 5.420938198286836748e-03
1.410209958843379127e+03 5.408421670679780871e-03
1.473369555716623609e+03 5.424166493954240588e-03
1.410883743165518808e+03 5.189002298157598288e-03
1.474122957224097263e+03 5.365896776936684466e-03
1.414375107166228872e+03 5.187490389067675976e-03
1.412164032214226154e+03 5.195912288793390690e-03
1.395565582113821392e+03 5.196082816594838928e-03
1.476855774196765879e+03 5.315372872356334370e-03
1.473832638849541809e+03 5.251796450484738470e-03
1.473621503511876654e+03 5.243416244407135898e-03
1.401666019669014531e+03 5.138727202839948015e-03
1.401806602874887631e+03 5.138283080645945217e-03
1.403411980948161045e+03 5.132810190757569266e-03
1.475970723114296788e+03 5.226948727923184761e-03
1.475548329708995198e+03 5.207860250837466169e-03
1.402716535469613063e+03 5.134039911577194769e-03
1.473957485980020692e+03 5.216793567572191453e-03
1.476590673339557952e+03 5.249060909786544549e-03
1.400356678809781215e+03 6.083765880404970808e-03
1.399973461386675126e+03 6.097962453946109175e-03
1.377561127312684221e+03 5.299964790334944949e-03
1.364231836710703419e+03 5.292419903830335691e-03
1.457112080533769358e+03 5.128937342215285702e-03
1.437650209732724988e+03 5.307577977082798305e-03
1.326518751472110353e+03 5.427556166549473045e-03
1.387827644535379250e+03 5.746565914176139656e-03
1.387738206367067733e+03 5.746752638863194054e-03
1.376739096251816591e+03 5.767040187979555720e-03
1.377740159648257759e+03 5.763495408612337965e-03
1.349024575898921285e+03 5.927396428342389043e-03
1.443066404238293444e+03 5.349366059866859230e-03
1.358985445884989531e+03 5.663243180090852050e-03
1.356569209701972795e+03 5.682946268131150447e-03
1.443259377081007187e+03 5.358517816274666924e-03
1.444104926192587982e+03 5.363879271100548476e-03
1.445593797922947488e+03 5.376860312966476318e-03
1.405488719976321818e+03 5.217032510939856316e-03
1.395295367293929758e+03 5.619512904520892332e-03
1.398041610763762264e+03 5.627973615708788298e-03
1.395394087343738420e+03 5.635740342324898657e-03
1.444012961398523885e+03 5.465881988353231413e-03
1.430472020283135862e+03 5.442657243603963441e-03
1.429686916373025952e+03 5.424358020371952173e-03
1.429593884644554237e+03 5.424673073379182586e-03
1.429379613682403715e+03 5.428542227802897815e-03
1.402737346776820232e+03 4.795339244562268899e-03
1.402570995940975990e+03 4.795042704195472127e-03
1.406394578875845355e+03 4.788807909639872067e-03
1.405481065663268510e+03 4.789957851684041937e-03
1.422121894479082812e+03 5.538987877727634054e-03
1.421355968519170119e+03 5.543012078053840240e-03
1.424202486864782031e+03 5.604974871309582191e-03
1.423512952384349774e+03 5.609100928172679017e-03
1.374543766616149469e+03 5.310292565995431389e-03
1.374594676720247435e+03 5.243519818654392844e-03
1.379585142644368943e+03 5.200990388998267579e-03
1.378768157536621402e+03 5.204277481181183648e-03
1.387018116168608685e+03 5.063415762676290975e-03
1.387204898810960003e+03 5.063462486372524197e-03
1.394354638593609252e+03 5.189625400509789190e-03
1.389063962684056378e+03 5.063208708944400178e-03
1.393652022810678318e+03 5.189425726284124102e-03
1.412577013182337396e+03 4.989960990980842406e-03
1.406465811471734696e+03 4.973962325688481567e-03
1.405979569263217854e+03 4.974967985996404593e-03
1.406479001467793069e+03 4.974473312925034064e-03
1.408343752651043815e+03 4.971212257447676919e-03
1.385558549230796871e+03 4.833803428118410746e-03
1.380072550760607328e+03 4.846229583524201689e-03
1.403687351378206358e+03 5.022693255452312031e-03
