# mf_modGR af_modGR
5.520069517595878494e+01 3.080553561666744544e-01
6.832804550837656166e+01 6.814796515448070524e-01
6.173804543094485098e+01 6.946650652233222756e-01
6.194457084355314436e+01 6.995895785068783068e-01
7.562655186840731858e+01 8.237734117084015706e-01
7.516358724030260419e+01 7.694682986247354251e-01
7.909022708549092329e+01 8.230325612302619165e-01
5.032962174209625772e+01 6.032938298254451048e-01
5.312891606273532830e+01 7.049315693637712155e-01
5.461583857199834569e+01 4.155085679506933527e-01
4.390916606166567959e+01 3.662733485636904263e-01
4.198679519314510600e+01 3.647171218274399829e-01
4.472980703427025873e+01 1.654688177661611803e-01
5.709920725190416135e+01 6.545057623619503495e-01
6.361118317536078592e+01 7.233995478923198608e-01
3.797461669518379068e+01 3.452009461633557263e-01
4.672538924492017998e+01 8.417970479425622710e-01
6.740421243087136816e+01 8.624836054623230552e-01
5.513203133464708827e+01 7.287500005134606162e-01
3.452870655260014843e+01 9.385347412697956360e-01
6.683692012134201832e+01 8.842254744609784334e-01
7.062557049411945798e+01 8.077218438818853929e-01
5.882228765725663067e+01 8.856660001263283455e-01
6.288620265378717278e+01 9.129906491218625630e-01
5.194620052927554354e+01 6.417250406912790028e-01
4.466424074849890502e+01 -4.993845643707817139e-02
5.410551155424251846e+01 4.554349837844106075e-01
9.979895056711126244e+01 9.717252544866954445e-01
6.752368998371838416e+01 7.075048916501542884e-01
6.098623084233495462e+01 5.051799505399183765e-01
4.047587700241431463e+01 5.221797387166613458e-01
3.330934565117380686e+01 8.526660636332791254e-01
8.604150243094206019e+01 8.782246655132545099e-01
6.022441935725321116e+01 5.383741543286282294e-01
6.882191166520550496e+01 6.838895857023465918e-01
3.235868773800672926e+01 -5.323288882421484125e-02
3.234689737438924340e+01 -5.743274826672362110e-02
8.280726074404567782e+01 8.253947039115581141e-01
7.731583344561148863e+01 7.429040954970802524e-01
7.690988547825014621e+01 7.483514293182627064e-01
8.551394816228588525e+01 8.488073185778477470e-01
8.457679716870504194e+01 8.607509414718357288e-01
3.655778263690596930e+01 6.705179519818511569e-01
7.508762615829843412e+01 7.394426307595768355e-01
9.311050280944633073e+01 9.151750898301261872e-01
8.747106425306438382e+01 9.242687460870291360e-01
8.786695228226619747e+01 9.201078428203319781e-01
7.659358788207283908e+01 8.810661098510373934e-01
4.110593684912765156e+01 9.726800160986982524e-01
7.601785976546742063e+01 8.484839034052995554e-01
7.586751718530182131e+01 8.440694457908417547e-01
5.990832253755236536e+01 7.081315774873830904e-01
7.126165968887136160e+01 8.558723791546348769e-01
4.454318640004966312e+01 3.719619583183190192e-01
3.812919191668328267e+01 9.183753057463245328e-01
3.574016600205281691e+01 9.282264121560364067e-01
