# azimuth cos_altitude psi t0 logA0 f0 tau0 phi0 logL logPrior
2.817056111825567033e+00 7.416490971966253065e-01 6.319059694287363360e-01 2.239303856187951219e-02 -2.114232870398773656e+01 5.703127406510889585e+01 1.554198259021102001e-02 2.795275052952199690e+00 7.905730543085710378e+05 0.000000000000000000e+00
3.206896163829422886e+00 3.539953371168469420e-01 1.134343608909039292e+00 1.974258201634558965e-02 -2.112754190199640192e+01 6.007107574020229634e+01 1.361673640633508271e-02 4.330452283701143656e+00 7.905730856748525985e+05 0.000000000000000000e+00
2.300538238023598137e+00 8.836775965773017161e-01 3.104224189354768404e-01 2.387988927610643422e-02 -2.098584258253834278e+01 5.744790274618580384e+01 1.715315791867348325e-02 2.083718297868301761e+00 7.905731424896500539e+05 0.000000000000000000e+00
2.705215670717489029e+00 9.243469945476993077e-01 5.599133576489800923e-02 2.460454628027181762e-02 -2.080430715318071577e+01 5.682129032360021625e+01 1.824021599646618447e-02 1.949757002202101575e+00 7.905731864088113653e+05 0.000000000000000000e+00
2.912492286633930227e+00 8.757689150911209808e-01 1.509371175339428550e+00 2.451526868257311934e-02 -2.105675945119012482e+01 6.185039475138353993e+01 1.517600044621168244e-02 4.866720937461026075e+00 7.905732025552598061e+05 0.000000000000000000e+00
2.320104151896457800e+00 8.910929822444604298e-01 1.125033105635426134e+00 2.477133426215537629e-02 -2.104352557585364636e+01 6.229568560948083444e+01 1.594829686664296295e-02 3.732035736333970899e+00 7.905732488278214587e+05 0.000000000000000000e+00
2.570412035540408979e+00 8.624245756736625967e-01 6.550986347641113428e-01 2.378456269518038416e-02 -2.085822377252112148e+01 5.428422962527402262e+01 1.475951672525622517e-02 2.823183630801298527e+00 7.905732649908177555e+05 0.000000000000000000e+00
3.451727472159371146e+00 3.367487799904357315e-01 7.353920763705383834e-01 1.886005362832734317e-02 -2.131506958790150108e+01 6.274015590410862586e+01 1.566811636393470111e-02 3.674327297494055067e+00 7.905732771449915599e+05 0.000000000000000000e+00
3.519684656624299190e+00 3.266225384333538151e-01 4.828638558154215721e-01 1.886876028423312146e-02 -2.130761192821928773e+01 6.264961525832747924e+01 1.770047144722948496e-02 3.297962005763843685e+00 7.905733565071283374e+05 0.000000000000000000e+00
2.239010783251563552e+00 9.333096266769316252e-01 2.361384292704381771e+00 2.477651481645799791e-02 -2.100264991742707110e+01 5.865898450620709070e+01 1.733533635055370392e-02 6.256298147814636224e+00 7.905733752005074639e+05 0.000000000000000000e+00
2.513141542274978324e+00 8.819111139376322184e-01 2.755253782696050813e+00 2.374631236554684138e-02 -2.094062097086397145e+01 6.003153653205089313e+01 1.534371824079877426e-02 8.177754721631237400e-01 7.905733761881272076e+05 0.000000000000000000e+00
3.386585339195284927e+00 2.346643728325261136e-01 1.363744369388484534e+00 1.875671009928159272e-02 -2.119172125144061525e+01 6.274567570920829240e+01 1.773559148245578559e-02 4.946157550114429924e+00 7.905733981548879528e+05 0.000000000000000000e+00
3.191971409225917711e+00 3.058876273033485083e-01 2.247911459526638900e-01 1.969125616095837583e-02 -2.122535674097321490e+01 6.621152854199708315e+01 1.094902176448309637e-02 2.466030629635251437e+00 7.905734052262780024e+05 0.000000000000000000e+00
2.424811468790029956e+00 9.390607334189646771e-01 1.122811211288396116e+00 2.504522081559187180e-02 -2.096051883592137699e+01 6.565633279829488345e+01 1.584642824687213652e-02 3.908370105088367463e+00 7.905734548759001773e+05 0.000000000000000000e+00
3.250149777801944140e+00 3.415627164931601123e-01 2.315481512917974882e+00 1.881873350983221879e-02 -2.128881567711197320e+01 5.557655275314141363e+01 1.896597769178848258e-02 4.208248548964657609e-01 7.905734670393683482e+05 0.000000000000000000e+00
4.648297139675678480e+00 3.610102578806749785e-01 2.774059244384359246e+00 1.976857162921125469e-02 -2.058134852775338430e+01 5.885315653575921857e+01 1.265616779897946187e-02 1.136257533090134997e+00 7.905734695039693033e+05 0.000000000000000000e+00
3.350124327112835143e+00 4.211831597516101922e-01 1.583279069192777611e+00 1.886397166591015015e-02 -2.125371256047873558e+01 5.561250448476914698e+01 1.930618594660009693e-02 5.234677321284236129e+00 7.905734811690237839e+05 0.000000000000000000e+00
3.216750084197305348e+00 4.152593506372544985e-01 1.131608113763611367e+00 1.993343496296325068e-02 -2.129423061978607379e+01 5.921355101179840119e+01 1.499030894173305345e-02 4.232887494740506185e+00 7.905735426364010200e+05 0.000000000000000000e+00
2.747097013598441162e+00 8.949621529514398821e-01 2.708696401056264191e-01 2.530690791076606674e-02 -2.106838424591234116e+01 5.930317480775406835e+01 1.888160710383203489e-02 2.298358249899171923e+00 7.905735519473230233e+05 0.000000000000000000e+00
3.324793324416912110e+00 2.856950480015761351e-01 5.935930705042352651e-01 1.896969249194241369e-02 -2.134337356072093073e+01 6.453821999783041008e+01 1.945408848341343908e-02 3.314557520263287316e+00 7.905735760141944047e+05 0.000000000000000000e+00
3.209501799507151532e+00 5.074738798918706495e-01 2.524347450126657844e+00 2.041392944286259808e-02 -2.128064240022731468e+01 6.134846562941918791e+01 1.703238441623957516e-02 6.770050996091020457e-01 7.905735837202041876e+05 0.000000000000000000e+00
1.172693109199425682e-01 2.087188801994698528e-01 1.560916394378400129e+00 1.882413168203010342e-02 -2.119982973529081249e+01 6.495513394955129627e+01 1.396840780047824138e-02 3.436704647653382239e+00 7.905735886895257281e+05 0.000000000000000000e+00
2.940695390905778694e+00 4.983761906390538066e-01 3.076471581005307598e+00 2.087368171670907213e-02 -2.128267178611390520e+01 6.281809004347159231e+01 1.943152488176918408e-02 1.439728464333509983e+00 7.905736130660278723e+05 0.000000000000000000e+00
2.919025992055534591e+00 6.881034842989776079e-01 2.863494789856801948e+00 2.186046240541580574e-02 -2.112608789575371304e+01 5.600076851947074630e+01 1.823195487381930324e-02 1.058947661715103017e+00 7.905736140980730997e+05 0.000000000000000000e+00
2.953964272157968196e+00 5.339813500065182517e-01 2.488529255343201019e+00 2.046927332553314174e-02 -2.119122735341169061e+01 5.851861916413316322e+01 1.575325499964251239e-02 4.489788669696882506e-01 7.905736167463613674e+05 0.000000000000000000e+00
3.434222383183536120e+00 3.758253591158050577e-01 2.081212114402068103e+00 1.922824094400989864e-02 -2.131043696551664368e+01 5.851937516295281938e+01 1.534643421262155832e-02 4.054076987892513140e-02 7.905736191993235843e+05 0.000000000000000000e+00
2.905534184543875575e+00 8.728642778711552808e-01 7.666506695964877549e-01 2.457783408814580642e-02 -2.110401967795349165e+01 6.219270412409995430e+01 1.684891821418249211e-02 3.401883593710303799e+00 7.905736231557958527e+05 0.000000000000000000e+00
3.412963429594237930e+00 5.432534452014896598e-01 2.074307596850404334e+00 2.065151304471895752e-02 -2.126165322336712293e+01 6.026981168746841178e+01 1.885731330299515729e-02 6.198495579423775048e+00 7.905736686527086422e+05 0.000000000000000000e+00
2.864640298007945951e+00 8.689089097738365020e-01 4.815085434551401589e-01 2.490444660699131854e-02 -2.112669249434138408e+01 6.174533604129594977e+01 1.742833069478114463e-02 2.625234692802342895e+00 7.905737129768995801e+05 0.000000000000000000e+00
2.314271780308470472e+00 9.555862073381879984e-01 1.309661841713722019e+00 2.642072540146047852e-02 -2.085632939254098517e+01 6.322280217544950176e+01 1.672762663227781582e-02 4.351006108868562094e+00 7.905737308764695190e+05 0.000000000000000000e+00
1.959108680043578909e-01 2.138912961061542051e-01 1.309989797674853129e-01 1.849731385715798482e-02 -2.138815342894370986e+01 6.385701701179190337e+01 1.946814646824879952e-02 5.750175893287139406e-01 7.905737322705178522e+05 0.000000000000000000e+00
2.730741717435130944e+00 7.942066500870876844e-01 3.123451943936152553e+00 2.390788854705993421e-02 -2.103183036291655483e+01 6.421080529619840149e+01 1.750258464868161348e-02 1.492044978096742636e+00 7.905737481699481141e+05 0.000000000000000000e+00
3.085137707314316913e+00 4.535499929237574723e-01 1.634457203562828642e+00 2.019701406692414949e-02 -2.136629622507387793e+01 6.021692114342162228e+01 1.930515759595361272e-02 5.062479881039436691e+00 7.905737621203071903e+05 0.000000000000000000e+00
3.072014983478286609e+00 2.899402595957051854e-01 2.506032108507049383e+00 1.895738650520127286e-02 -2.139184938797931679e+01 6.141571304362653194e+01 1.958490435914150146e-02 7.421189775237261310e-01 7.905737627844902454e+05 0.000000000000000000e+00
